year,region,state,sector,opened,closed,net
2019,Centro-Oeste,DF,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",12740,18555,-5815
2019,Centro-Oeste,DF,B Indústrias extrativas,7783,1422,6361
2019,Centro-Oeste,DF,C Indústrias de transformação,52519,51100,1419
2019,Centro-Oeste,DF,D Eletricidade e gás,11696,6801,4895
2019,Centro-Oeste,DF,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",8596,4342,4254
2019,Centro-Oeste,DF,F Construção,110867,74899,35968
2019,Centro-Oeste,DF,G Comércio; reparação de veículos automotores e motocicletas,508120,441764,66356
2019,Centro-Oeste,DF,"H Transporte, armazenagem e correio",62949,77464,-14515
2019,Centro-Oeste,DF,I Alojamento e alimentação,198018,180841,17177
2019,Centro-Oeste,DF,J Informação e comunicação,110938,56034,54904
2019,Centro-Oeste,DF,"K Atividades financeiras, de seguros e serviços relacionados",22394,62441,-40047
2019,Centro-Oeste,DF,L Atividades imobiliárias,15500,10373,5127
2019,Centro-Oeste,DF,"M Atividades profissionais, científicas e técnicas",92856,66208,26648
2019,Centro-Oeste,DF,N Atividades administrativas e serviços complementares,234488,144360,90128
2019,Centro-Oeste,DF,"O Administração pública, defesa e seguridade social",6,0,6
2019,Centro-Oeste,DF,P Educação,70097,55995,14102
2019,Centro-Oeste,DF,Q Saúde humana e serviços sociais,82779,44765,38014
2019,Centro-Oeste,DF,"R Artes, cultura, esporte e recreação",24574,16802,7772
2019,Centro-Oeste,DF,S Outras atividades de serviços,36326,35304,1022
2019,Centro-Oeste,DF,T Serviços domésticos,0,0,0
2019,Centro-Oeste,DF,Total,1506548,1257249,249299
2019,Centro-Oeste,DF,U Organismos internacionais e outras instituições extraterritoriais,0,0,0
2019,Centro-Oeste,GO,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",113990,65028,48962
2019,Centro-Oeste,GO,B Indústrias extrativas,33921,5557,28364
2019,Centro-Oeste,GO,C Indústrias de transformação,273472,298810,-25338
2019,Centro-Oeste,GO,D Eletricidade e gás,12222,27,12195
2019,Centro-Oeste,GO,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",28450,11103,17347
2019,Centro-Oeste,GO,F Construção,207556,121638,85918
2019,Centro-Oeste,GO,G Comércio; reparação de veículos automotores e motocicletas,723232,704799,18433
2019,Centro-Oeste,GO,"H Transporte, armazenagem e correio",176848,117508,59340
2019,Centro-Oeste,GO,I Alojamento e alimentação,176162,171359,4803
2019,Centro-Oeste,GO,J Informação e comunicação,54263,54000,263
2019,Centro-Oeste,GO,"K Atividades financeiras, de seguros e serviços relacionados",52602,62381,-9779
2019,Centro-Oeste,GO,L Atividades imobiliárias,21572,12045,9527
2019,Centro-Oeste,GO,"M Atividades profissionais, científicas e técnicas",122415,69162,53253
2019,Centro-Oeste,GO,N Atividades administrativas e serviços complementares,430275,244226,186049
2019,Centro-Oeste,GO,"O Administração pública, defesa e seguridade social",22585,1,22584
2019,Centro-Oeste,GO,P Educação,86212,76383,9829
2019,Centro-Oeste,GO,Q Saúde humana e serviços sociais,130430,64393,66037
2019,Centro-Oeste,GO,"R Artes, cultura, esporte e recreação",19037,16657,2380
2019,Centro-Oeste,GO,S Outras atividades de serviços,43533,32855,10678
2019,Centro-Oeste,GO,T Serviços domésticos,0,0,0
2019,Centro-Oeste,GO,Total,2543334,2051336,491998
2019,Centro-Oeste,GO,U Organismos internacionais e outras instituições extraterritoriais,0,0,0
2019,Centro-Oeste,MS,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",127443,17085,110358
2019,Centro-Oeste,MS,B Indústrias extrativas,20992,13566,7426
2019,Centro-Oeste,MS,C Indústrias de transformação,154318,200901,-46583
2019,Centro-Oeste,MS,D Eletricidade e gás,11755,55,11700
2019,Centro-Oeste,MS,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",9858,4804,5054
2019,Centro-Oeste,MS,F Construção,88493,48023,40470
2019,Centro-Oeste,MS,G Comércio; reparação de veículos automotores e motocicletas,287195,211880,75315
2019,Centro-Oeste,MS,"H Transporte, armazenagem e correio",70863,54420,16443
2019,Centro-Oeste,MS,I Alojamento e alimentação,70193,56578,13615
2019,Centro-Oeste,MS,J Informação e comunicação,22676,15211,7465
2019,Centro-Oeste,MS,"K Atividades financeiras, de seguros e serviços relacionados",23152,28746,-5594
2019,Centro-Oeste,MS,L Atividades imobiliárias,12669,5892,6777
2019,Centro-Oeste,MS,"M Atividades profissionais, científicas e técnicas",47514,29946,17568
2019,Centro-Oeste,MS,N Atividades administrativas e serviços complementares,77243,41115,36128
2019,Centro-Oeste,MS,"O Administração pública, defesa e seguridade social",1,0,1
2019,Centro-Oeste,MS,P Educação,24135,14530,9605
2019,Centro-Oeste,MS,Q Saúde humana e serviços sociais,29834,16729,13105
2019,Centro-Oeste,MS,"R Artes, cultura, esporte e recreação",9342,7747,1595
