,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES"
,"TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES"
,"TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES","TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM SETEMBRO DE 2025 - SEM AJUSTES"
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação,Unidade da Federação
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal,Não identificado,Total
,Total,1171,845,3736,295,9775,735,1594,3270,2404,10561,3231,6084,15602,13883,5962,11350,11785,3793,16009,49052,12046,11366,3890,1379,3737,5737,3716,-6,213002
,"Agricultura, pecuária, produção florestal, pesca e aquicultura",88,-21,4,-49,361,24,46,114,-150,982,718,302,2814,1417,1464,-57,-5967,-665,-99,-410,470,639,1197,-125,911,-820,-9,-12,3167
,Indústria geral,271,47,506,89,1514,213,104,317,372,2060,412,1103,8367,9107,1585,1113,4190,693,1269,7005,1591,360,-2095,525,562,1558,257,0,43095
,Indústrias Extrativas,46,-3,12,-1,50,10,-50,15,12,74,29,-13,17,-2,5,-67,462,20,-18,5,68,-36,-34,103,112,23,2,0,841
,Indústrias de Transformação,37,56,477,59,1408,192,155,284,70,1742,275,1056,8111,9087,1536,1199,4212,646,716,6477,1333,226,-2297,436,438,1207,167,0,39305
